sample_id,task_id,language,seed,handling,subtype,returns_default,has_log,has_raise,intent_disclosed,human_verdict,review_note
ts_sum_control_s0,ts_sum_control,typescript,0,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s1,ts_sum_control,typescript,1,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s2,ts_sum_control,typescript,2,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s3,ts_sum_control,typescript,3,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s4,ts_sum_control,typescript,4,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s5,ts_sum_control,typescript,5,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s6,ts_sum_control,typescript,6,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s7,ts_sum_control,typescript,7,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s8,ts_sum_control,typescript,8,no_try_except,,,Y,,,not_adjudicated,
ts_sum_control_s9,ts_sum_control,typescript,9,no_try_except,,,Y,,,not_adjudicated,
